BRAND,JRPSKU,OEMSKU,DESCRIPTION,COST,MAP
"ACS COMPOSITE","ACS48-4-039 1LE","48-4-039 1LE","ACS Camaro 6 ZL1 Rockers 1LE Black",1096.99000,1218.99000
Xona,XON005412,005412,"XONA XR-48 SS V-Band T/H 0.64A/R T/W:54/48",423.68217,537.41041
Xona,XON005421,005421,"XONA XR-48 SS V-Band T/H 0.52A/R T/W:54/48",423.68217,537.41041
Xona,XON005644,005644,"XONA XR-48 SS V-Band IWG T/H 0.62A/R T/W:54/48",778.24665,904.23967
Xona,XON005648,005648,"XONA XR-56 SS V-Band IWG T/H 0.62A/R T/W:60/56",778.24665,904.23967
Xona,XON005654,005654,"XONA XR-64 SS V-Band IWG T/H 0.80A/R T/W:68/64",778.24665,904.23967
Xona,XON006493,006493,"XONA X2C XR5756 A/R: 0.56 C/W: 53/73 T/W:60/56 C/W Flow: 57 HP RANGE: 300-600",1659.08286,2023.68217
Xona,XON006588,006588,"XONA X2C XR4948 A/R: 0.56 C/W: 49.5/68 T/W:54/48 C/W Flow: 49 HP RANGE: 260-510",1573.22925,1886.53931
Xona,XON006673,006673,"XONA MVI Bracket/Canister kit for 3 C/H inlet",209.60554,284.30935
Xona,XON006877,006877,"XONA XR-64S SS V-Band T/H 1.03A/R T/W:",530.72049,673.43828
Xona,XON006880,006880,"XONA XR-69S SS V-Band T/H 1.03A/R T/W:78/69",530.72049,673.43828
Xona,XON007087,007087,"XONA XT4CI XR69S T/W:78/69",237.16350,282.53589
Xona,XON007088,007088,"XONA XT4CI XR69S T/W:78/69 A/R .96",237.16350,282.53589
Xona,XON12250,12250,"XONA 62.5/86 72/64 0.56 410-820",2103.96091,2563.33375
Xona,XON14110,14110,"XONA X4C XR11569S A/R: 0.7 C/W: 76/105 T/W:78/69 C/W Flow: 115 HP RANGE: 600-120",2522.07938,3073.99576
