BRAND,JRPSKU,OEMSKU,DESCRIPTION,COST,MAP
AiM,AIMV02573330,"V02573330 ","AiM MXS STRADA 1.2 23 PIN HARNESS",216.83976,237.03661
AiM,AIMV02589040,"V02589040 ","AiM SOLO 2 DL 1.2M CAN/K-LINE OBDII HARNESS",64.83187,71.20984
AiM,AIMV02PCB20B,"V02PCB20B ","AiM PATCH CABLE 2M 719 4-PIN/M TO 719 4-PIN/F",37.19408,41.44605
AiM,AIMX08CHANEXP0,"X08CHANEXP0 ","AiM CAN CONNECTION MULTIPLIER DISCONTINUED",327.18826,356.34457
AiM,AIMX08HUB010,"X08HUB010 ","AiM DATA HUB 0.4M",93.45115,101.75883
AiM,AIMX46KSTG00,"X46KSTG00 ","AiM SOLO V-BRACKET ROLL BAR MOUNT KIT",49.95000,54.20195
AiM,AIMX46KSVS00,"X46KSVS00 ","AiM SOLO SUCTION CUP MOUNT",44.63501,48.88699
AiM,AIMX47KPSOLO2T10,"X47KPSOLO2T10 ","AiM SOLO 2 MOTORCROSS TAPER BAR PAD MOUNT",97.78464,107.35157
AiM,AIMX47SOLO2001U0,"X47SOLO2001U0 ","AiM SOLO 2",568.69013,619.71376
AiM,AIMX47SOLO2DL01U0,"X47SOLO2DL01U0 ","AiM SOLO 2 DL OBDII",989.63501,1078.92637
AiM,AIMX47SOLO2DL03U0,"X47SOLO2DL03U0 ","AiM SOLO 2 DL RPM CABLE",989.63501,1078.92637
AiM,AIMX90BRIDGE01,"X90BRIDGE01 ","AiM RPM BRIDGE DISCONTINUED",265.00563,288.72301
AiM,AIMX90KSBLV0,"X90KSBLV0 ","AiM SMARTYCAM GP HD BULLET CAM SUCTION CUP BRACKET DISCONTINUED",91.77767,100.41661
AiM,AIMX90KSGPRB,"X90KSGPRB ","AiM SMARTYCAM GP HD RECORDING MODULE MOUNT KIT",90.34368,98.84762
"Air Lift Performance",ARL-01510,"01510 ","AIRLIFT MOUNTING BRACKET FOR FLO TANKS (SINGLE BRACKET NO HARDWARE INCLUDED)",24.79960,29.63621
"Air Lift Performance",ARL-12957,"12957 ","AIRLIFT 4 GAL ALUM AIR TANK - (4) 1/4"" FACE PORTS (2) 3/8"" END PORTS & 1/4"" DR",177.51460,249.55268
"Air Lift Performance",ARL-16444,"16444 ","AIRLIFT VIAIR 444C COMPRESSOR - 200 PSI",359.23500,429.25845
