BRAND,JRPSKU,OEMSKU,DESCRIPTION,COST,MAP
3M,7000130405,"7000130405 ","3M Wheel Weight 99473 6MM x 29mm x 10.9M - 20lb roll",309.73027,0.00000
"425 Motorsports",SB001DR,"SB001DR ","SEAT BASE CHEVROLET CORVETTE C5/Z06 (98-02) - DRIVER",203.02085,249.79250
"425 Motorsports",SB020PA,"SB020PA ","SEAT BASE SUBARU WRX/STI (08+) - PASSENGER",203.02085,249.79250
"425 Motorsports",SB132PA,"SB132PA ","SEAT BASE DODGE VIPER (1996-02) - PASSENGER",203.02085,249.79250
"ACS COMPOSITE","ACS48-4-039 1LE","48-4-039 1LE ","ACS Camaro 6 ZL1 Rockers 1LE Black",1096.99000,1218.99000
Adro,ADROA10A20-1201,"A10A20-1201 ","ADRO HYUNDAI VELOSTER N FRONT V1",781.95115,944.98960
Adro,ADROA10A20-1203,"A10A20-1203 ","ADRO HYUNDAI VELOSTER N FRONT V2 (B type)",821.41268,992.75883
Adro,ADROA10A20-1302,"A10A20-1302 ","ADRO HYUNDAI VELOSTER N DIFFUSER V2",937.72038,1133.98960
Adro,ADROA10A20-1502,"A10A20-1502 ","ADRO HYUNDAI VELOSTER N TRUNK SPOILER V2",1524.45115,1843.25883
Adro,ADROA10A40-1201,"A10A40-1201 ","ADRO HYUNDAI ELANTRA N FRONT V1",893.06653,1079.98960
Adro,ADROA10A40-1501,"A10A40-1501 ","ADRO HYUNDAI ELANTRA N TRUNK SPOILER - ELANTRA N",1524.45115,1843.25883
AEM,30-3003,"30-3003 ","WATER / METHANOL INLINE FILTER KIT",34.25883,41.87076
AEM,30-3015,"30-3015 ","WATER METHENAL PUMP",159.91268,196.99615
AEM,30-3300,"30-3300 ","WATER / METHANOL INJECTION KIT V3 (w/1.15 Gallon Tank)",538.95115,663.54576
AEM,30-3301,"30-3301 ","V3 Water/Methanol Injection Kit HD Controller - Internal MAP with 40psi max 20",657.33576,809.33538
AEM,30-3302,"30-3302 ","WATER / METHANOL INJECTION KIT V2 (No Tank)",481.83576,593.60538
AEM,30-3304,"30-3304 ","V2 Water/Methanol Standard Controller Kit - Internal MAP with 35psi max",173.41268,213.67383
AEM,30-3313,"30-3313 ","V3 INJECTOR KIT - INCLUDES 2 COMPLETE INJECTOR ASSEMBLIES AND 2 SETS OF SWIRL GE",94.48960,115.81960
AEM,30-3315,"30-3315 ","V3 Water/Methanol Injection Nozzle & Jet Kit Includes T Fitting Hose 250cc 5",80.98960,99.74422
AEM,30-3320,"30-3320 ","V2 Water/Methanol Injection 5 Gallon Tank Kit with Conductive Fluid Level Sensor",179.64345,221.38960
AEM,30-3326,"30-3326 ","THE AEM WATER/METHANOL SOLENOID IS A 2-WAY NORMALLY CLOSED 12V VALVE WITH STAIN",70.60500,85.95345
AEM,30-3350,"30-3350 ","V2 Water/Methanol Injection Kit Multi Input Controller - 0-5v/MAF Frequency or",518.18191,638.11383
Aerocatch,AER120-2000,"120-2000 ","HOOD LATCH AEROCATCH TOP MOUNT PLUS FLUSH KIT - BLACK",99.91061,112.66653
Aerocatch,AER120-2100,"120-2100 ","HOOD LATCH AEROCATCH TOP MOUNT PLUS FLUSH KIT LOCKING - BLACK",123.29645,138.17832
Aerocatch,AER120-4000,"120-4000 ","HOOD LATCH XTREME PLUS FLUSH (NEW)",99.91061,112.66653
Aerocatch,AER120-4100,"120-4100 ","HOOD LATCH XTREME PLUS FLUSH LOCKING",123.29645,138.17832
Aerocatch,AER320-2000,"320-2000 ","HOOD LATCH AEROCATCH 3 TOP MOUNT PLUS FLUSH KIT - BLACK",387.98149,434.75314
AiM,AIMV02573330,"V02573330 ","AiM MXS STRADA 1.2 23 PIN HARNESS",216.83976,237.03661
AiM,AIMV02589040,"V02589040 ","AiM SOLO 2 DL 1.2M CAN/K-LINE OBDII HARNESS",64.83187,71.20984
AiM,AIMV02PCB20B,"V02PCB20B ","AiM PATCH CABLE 2M 719 4-PIN/M TO 719 4-PIN/F",37.19408,41.44605
AiM,AIMX08CHANEXP0,"X08CHANEXP0 ","AiM CAN CONNECTION MULTIPLIER DISCONTINUED",327.18826,356.34457
AiM,AIMX08HUB010,"X08HUB010 ","AiM DATA HUB 0.4M",93.45115,101.75883
AiM,AIMX46KSTG00,"X46KSTG00 ","AiM SOLO V-BRACKET ROLL BAR MOUNT KIT",49.95000,54.20195
AiM,AIMX46KSVS00,"X46KSVS00 ","AiM SOLO SUCTION CUP MOUNT",44.63501,48.88699
AiM,AIMX47KPSOLO2T10,"X47KPSOLO2T10 ","AiM SOLO 2 MOTORCROSS TAPER BAR PAD MOUNT",97.78464,107.35157
AiM,AIMX47SOLO2001U0,"X47SOLO2001U0 ","AiM SOLO 2",568.69013,619.71376
AiM,AIMX47SOLO2DL01U0,"X47SOLO2DL01U0 ","AiM SOLO 2 DL OBDII",989.63501,1078.92637
AiM,AIMX47SOLO2DL03U0,"X47SOLO2DL03U0 ","AiM SOLO 2 DL RPM CABLE",989.63501,1078.92637
AiM,AIMX90BRIDGE01,"X90BRIDGE01 ","AiM RPM BRIDGE DISCONTINUED",265.00563,288.72301
AiM,AIMX90KSBLV0,"X90KSBLV0 ","AiM SMARTYCAM GP HD BULLET CAM SUCTION CUP BRACKET DISCONTINUED",91.77767,100.41661
