BRAND,JRPSKU,OEMSKU,DESCRIPTION,IN-STOCK,COST,MAP
ACCEL,ACC49505,49505,"ACCEL ACCEL SUPERTUNER",No,359.29730,435.47883
Hooker,HOO10150HKR,10150HKR,"HOOKER HOOKER NEON CLOCK",No,68.52807,91.98691
Xona,XON000561,000561,"XONA 14mm coolant fitting for 4AN SS",No,18.94350,21.17348
Xona,XON000564,000564,"XONA 14mm coolant fitting set 3/8 barb banjo-style (1 port)",No,27.86336,27.86336
Xona,XON001544,001544,"XONA Porsche 997 65mm Hybrid",No,2322.77879,3425.32098
Xona,XON001545,001545,"XONA Porsche 997 65mm Hybrid",No,2322.77879,3425.32098
Xona,XON001546,001546,"XONA (997.1 Driver's side)",No,2322.77879,3425.32098
Xona,XON001547,001547,"XONA (997.1 Passenger's side)",No,2322.77879,3425.32098
Xona,XON001548,001548,"XONA (997.2 Driver's side)",No,2322.77879,3425.32098
Xona,XON001549,001549,"XONA (997.2 Passenger's side)",No,2322.77879,3425.32098
Xona,XON001788,001788,"XONA Oil outlet flange for 3/8""NPT AL",No,13.36860,16.71354
Xona,XON001790,001790,"XONA Oil inlet adapter for 4AN 0.030 restrictor SS",No,20.05849,21.17348
Xona,XON001791,001791,"XONA Oil inlet adapter for 4AN 0.040 restrictor SS",No,20.05849,21.17348
Xona,XON001792,001792,"XONA Oil inlet adapter for 4AN no restrictor SS",No,20.05849,21.17348
Xona,XON001814,001814,"XONA Turbine inlet v-flange all but F3V",No,53.50796,57.96789
Xona,XON002038,002038,"XONA P993 Line Kit",No,688.94302,777.49194
Xona,XON002046,002046,"XONA Porsche 944 Turbo Mount",No,271.03526,308.83055
Xona,XON002152,002152,"XONA Audi S4 XR770",No,7434.85978,7552.56505
Xona,XON002153,002153,"XONA Audi S4 XR770",No,6658.43683,6763.18374
Xona,XON002351,2351,"XONA 49.5/68 54/48 0.56 260-510",No,1635.98463,1959.94414
Xona,XON002353,2353,"XONA 51.5/71 54/48 280-570",No,1635.98463,1959.94414
Xona,XON002355,2355,"XONA 51.5/71 60/56 0.56 300-570",No,1724.53357,2102.48632
Xona,XON002357,2357,"XONA 53/73 60/56 0.56 300-600",No,1724.53357,2102.48632
Xona,XON002359,2359,"XONA 55/76 60/56 0.56 320-640",No,1724.53357,2102.48632
Xona,XON002361,2361,"XONA 57.5/79 60/56 0.56 350-680",No,1724.53357,2102.48632
Xona,XON002363,2363,"XONA 57.5/79 68/64 0.56 350-680",No,1907.03077,2279.58419
Xona,XON002365,2365,"XONA 59.5/82 68/64 0.56 370-750",No,1907.03077,2279.58419
Xona,XON002367,2367,"XONA 62.5/86 68/64 0.56 410-820",No,1988.02064,2422.12639
Xona,XON002500,002500,"XONA Turbine outlet v-flange EWG all but F3V",No,52.39297,56.85290
Xona,XON002501,002501,"XONA Turbine outlet v-flange F3V only",No,52.39297,56.85290
