BRAND,JRPSKU,OEMSKU,DESCRIPTION,COST,MAP
Akata,AKAC510,AC510,"AKATA WHEEL SPACER 10MM 5 X 120/5 X 114.3 CB 64.1 BLACK w/LIP (Pair)",78.65077,112.66653
Akata,AKAC515,AC515,"AKATA WHEEL SPACER 15MM 5 X 120/5 X 114.3 CB 64.1 BLACK w/LIP (Pair)",89.28069,127.54840
Akata,AKACW13,ACW13,"AKATA WHEEL SPACER 13MM 5 X 120 CB 64.1 w/STUDS (Pair)",106.28856,151.99723
Akata,AKACW15,ACW15,"AKATA WHEEL SPACER 15MM 5 X 120 CB 64.1 w/STUDS (Pair)",110.54053,158.37517
Akata,AKACW20,ACW20,"AKATA WHEEL SPACER 20MM 5 X 120 CB 64.1 w/STUDS (Pair)",114.79250,164.75314
Akata,AKAL503,AL503,"AKATA WHEEL SPACER 3MM 5 X 110 CB 65.1 FLAT (Pair)",57.39093,82.90274
Akata,AKAL505,AL505,"AKATA WHEEL SPACER 5MM 5 X 110 CB 65.1 FLAT (Pair)",61.64290,88.21770
Akata,AKAL512,AL512,"AKATA WHEEL SPACER 12MM 5 X 110 CB 65.1 BLACK w/LIP (Pair)",82.90274,119.04448
Akata,AKAUD03,AUD03,"AKATA WHEEL SPACER 3MM 5 X 100/112 CB 57.1 FLAT (Pair)",53.13896,76.52480
Akata,AKAUD05,AUD05,"AKATA WHEEL SPACER 5MM 5 X 100/112 CB 57.1 FLAT (Pair)",57.39093,82.90274
Akata,AKAUD13,AUD13,"AKATA WHEEL SPACER 13MM 5 X 100/112 CB 57.1 w/LIP (Pair)",82.90274,119.04448
Akata,AKAUD15,AUD15,"AKATA WHEEL SPACER 15MM 5 X 100/112 CB 57.1 w/LIP (Pair)",89.28069,127.54840
Akata,AKAUD20,AUD20,"AKATA WHEEL SPACER 20MM 5 X 100/112 CB 57.1 w/LIP (Pair)",97.78464,140.30432
Akata,AKAUF08,AUF08,"AKATA WHEEL SPACER 8MM 5 X 100/112 CB 57.1 FLAT (Pair)",62.70589,90.34368
Akata,AKBM503,BM503,"AKATA WHEEL SPACER 3MM 5 X 120 CB 72.5 FLAT (Pair)",53.13896,76.52480
Akata,AKBM505,BM505,"AKATA WHEEL SPACER 5MM 5 X 120 CB 72.5 FLAT (Pair)",57.39093,82.90274
Akata,AKBM513,BM513,"AKATA WHEEL SPACER 13MM 5 X 120 CB 72.5 w/LIP (Pair)",70.14683,100.97360
Akata,AKBM515,BM515,"AKATA WHEEL SPACER 15MM 5 X 120 CB 72.5 w/LIP (Pair)",89.28069,127.54840
Akata,AKBM520,BM520,"AKATA WHEEL SPACER 20MM 5 X 120 CB 72.5 w/LIP (Pair)",97.78464,140.30432
Akata,AKBM525,BM525,"AKATA WHEEL SPACER 25MM 5 X 120 CB 72.5 w/LIP (Pair)",102.03661,146.68227
Akata,AKBMF08,BMF08,"AKATA WHEEL SPACER 8MM 5 X 120 CB 72.5 FLAT (Pair)",62.70589,90.34368
Akata,AKCO503,CO503,"AKATA WHEEL SPACER 3MM 5 X 120.65 CB 70.3 FLAT (Pair)",53.13896,76.52480
Akata,AKCOW15,COW15,"AKATA WHEEL SPACER 15MM 5 X 120.65 CB 70.3 w/STUDS (Pair)",110.54053,158.37517
Akata,AKCOW20,COW20,"AKATA WHEEL SPACER 20MM 5 X 120.65 CB 70.3 w/STUDS (Pair)",114.79250,164.75314
Akata,AKFNW15,FNW15,"AKATA WHEEL SPACER 15MM 5 X 114.3 CB 70.5 w/STUDS (Pair) 14x1.5",110.54053,158.37517
Akata,AKFNW20,FNW20,"AKATA WHEEL SPACER 20MM 5 X 114.3 CB 70.5 w/STUDS (Pair) 14X1.5",114.79250,164.75314
Akata,AKFOW15,FOW15,"AKATA WHEEL SPACER 15MM 5 X 114.3 CB 70.5 w/STUDS (Pair) 1/2""",110.54053,158.37517
Akata,AKFOW20,FOW20,"AKATA WHEEL SPACER 20MM 5 X 114.3 CB 70.5 w/STUDS (Pair) 1/2""",114.79250,164.75314
Akata,AKFOW25,FOW25,"AKATA WHEEL SPACER 25MM 5 X 114.3 CB 70.5 w/STUDS (Pair) 1/2""",119.04448,170.06810
Akata,AKGMW15,GMW15,"AKATA WHEEL SPACER 15MM 5 X 120 CB 66.9 w/STUDS (Pair)",110.54053,158.37517
Akata,AKGMW20,GMW20,"AKATA WHEEL SPACER 20MM 5 X 120 CB 66.9 w/STUDS (Pair)",114.79250,164.75314
