BRAND,JRPSKU,OEMSKU,DESCRIPTION,QTY,COST,MAP
ACCEL,ACC49505,49505,"ACCEL ACCEL SUPERTUNER",0,359.29730,435.47883
ACCEL,ACC150115,150115,"ACCEL PERF FUEL INJECTOR 15lb each",0,80.98960,91.46768
ACCEL,ACC150117,150117,"ACCEL PERF FUEL INJECTOR 17lb each",0,78.91268,95.44500
ACCEL,ACC150119,150119,"ACCEL PERF FUEL INJECTOR 19lb each",0,78.91268,95.44500
ACCEL,ACC150121,150121,"ACCEL PERF FUEL INJECTOR 21lb each",0,82.02807,99.42230
ACCEL,ACC150124,150124,"ACCEL PERF FUEL INJECTOR 24lb each",0,77.87422,93.47191
ACCEL,ACC150126,150126,"ACCEL PERF FUEL INJECTOR 26lb each",0,78.91268,89.49460
ACCEL,ACC150130,150130,"ACCEL PERF FUEL INJECTOR 30lb each",0,75.79730,91.46768
ACCEL,ACC150132,150132,"ACCEL PERF FUEL INJECTOR 32lb each",0,73.72038,89.49460
ACCEL,ACC150136,150136,"ACCEL PERF FUEL INJECTOR 36lb each",0,75.79730,91.46768
ACCEL,ACC150144,150144,"ACCEL PERF FUEL INJECTOR 44lb each",0,82.02807,99.44307
ACCEL,ACC150615,150615,"ACCEL PERF FUEL INJECTORS 15lb 6-pak",0,460.02807,511.95115
ACCEL,ACC150617,150617,"ACCEL PERF FUEL INJECTORS 17lb 6-pak",0,488.06653,543.10500
ACCEL,ACC150619,150619,"ACCEL PERF FUEL INJECTORS 19lb 6-pak",0,444.45115,494.29730
ACCEL,ACC150624,150624,"ACCEL PERF FUEL INJECTORS 24lb 6-pak",0,455.87422,506.75883
ACCEL,ACC150630,150630,"ACCEL PERF FUEL INJECTORS 30lb 6-pak",0,427.83576,484.18268
ACCEL,ACC150819,150819,"ACCEL PERF FUEL INJECTORS 19lb 8-pak",0,553.48960,615.79730
ACCEL,ACC150821,150821,"ACCEL PERF FUEL INJECTORS 21lb 8-pak",0,555.56653,617.87422
ACCEL,ACC150823,150823,"ACCEL PERF FUEL INJECTORS 23lb 8-pak",0,565.95115,629.29730
ACCEL,ACC150824,150824,"ACCEL PERF FUEL INJECTORS 24lb 8-pak",0,553.48960,615.79730
ACCEL,ACC150826,150826,"ACCEL PERF FUEL INJECTORS 26lb 8-pak",0,553.48960,615.79730
ACCEL,ACC150830,150830,"ACCEL PERF FUEL INJECTORS 30lb 8-pak",0,553.48960,615.79730
ACCEL,ACC150832,150832,"ACCEL PERF FUEL INJECTORS 32lb 8-pak",0,576.33576,640.72038
ACCEL,ACC150836,150836,"ACCEL PERF FUEL INJECTORS 36lb 8-pak",0,601.25883,668.75883
ACCEL,ACC150840,150840,"ACCEL PERF FUEL INJECTORS 40lb 8-pak",0,677.06653,752.87422
ACCEL,ACC150844,150844,"ACCEL PERF FUEL INJECTOR 44LB 8-PAK",0,677.06653,752.87422
ACCEL,ACC150848,150848,"ACCEL PERF FUEL INJECTORS 48lb 8-pak",0,677.06653,752.87422
ACCEL,ACC151148,151148,"ACCEL LS/UNV 48LB/HR HIGH IMP SINGL",0,69.56653,84.54115
ACCEL,ACC151153,151153,"ACCEL LS/UNV 53LB/HR HIGH IMP SINGL",0,82.02807,92.99422
ACCEL,ACC151161,151161,"ACCEL LS/UNV 61LB/HR HIGH IMP SINGL",0,76.83576,92.99422
ACCEL,ACC151180,151180,"ACCEL LS/UNV 80LB/HR HIGH IMP SINGL",0,76.83576,92.99422
ACCEL,ACC151848,151848,"ACCEL LS/UNV 48LB/HR HIGH IMP 8PACK",0,520.25883,589.93960
ACCEL,ACC151853,151853,"ACCEL LS/UNV 53LB/HR HIGH IMP 8PACK",0,618.91268,701.26268
ACCEL,ACC151861,151861,"ACCEL LS/UNV 61LB/HR HIGH IMP 8PACK",0,618.91268,701.26268
ACCEL,ACC151880,151880,"ACCEL LS/UNV 80LB/HR HIGH IMP 8PACK",0,618.91268,701.26268
ACCEL,ACC74160,74160,"ACCEL PERF FUEL INJECTOR 160lb each",0,152.64345,185.00191
ACCEL,ACC74561,74561,"ACCEL REGULATOR 86-93 5.0L MUSTANG",0,129.79730,144.33576
ACCEL,ACC74566,74566,"ACCEL REGULATOR 94-97 LT1(EXC.VETTE)",0,157.83576,175.48960
ACCEL,ACC74607,74607,"ACCEL PERF FUEL INJECTOR 83lb each",0,111.10500,134.58460
ACCEL,ACC74616,74616,"ACCEL PERF FUEL INJECTOR 72lb each",0,121.48960,147.43038
ACCEL,ACC74618,74618,"ACCEL PERF FUEL INJECTOR 96lb each",0,116.29730,140.47268
ACCEL,ACC74620L,74620L,"ACCEL PERF FUEL INJECTOR 62LB EACH",0,106.95115,129.28845
ACCEL,ACC74777,74777,"ACCEL MAP SENSOR 3 BAR",0,134.98960,150.56653
ACCEL,ACC75169,75169,"ACCEL ELEC PUMP 500 GM INTANK",0,282.07940,314.41388
ACCEL,ACC75340,75340,"ACCEL ELEC PUMP 500 FORD INTANK",0,307.37422,341.64345
ACCEL,ACC75341,75341,"ACCEL ELEC PUMP 500 INTANK",0,296.98960,330.22038
ACCEL,ACC75342,75342,"ACCEL ELEC PUMP 500 INTANK",0,307.37422,341.64345
ACCEL,ACC61212,61212,"ACCEL ACCEL SUPERBOX CD IGNITION SYSTEM",0,264.79730,294.91268
ACCEL,ACC10840,10840,"ACCEL 10.8mm 300+ RACE WIRE UNI FIT",0,299.06653,332.29730
ACCEL,ACC10841,10841,"ACCEL 10.8mm 300+ RACE WIRE UNI FIT",0,299.06653,332.29730
ACCEL,ACC160090,160090,"ACCEL SPOOLED WIRE 7mm COPPER 100FT",0,145.37422,176.65268
ACCEL,ACC160094,160094,"ACCEL SPOOLED WIRE 8.8mm STNLESS 60'",0,251.29730,304.67422
ACCEL,ACC160097,160097,"ACCEL SPOOLED WIRE 8.8MM 300+ 60FT",0,372.79730,452.17730
ACCEL,ACC170018,170018,"ACCEL IGN WIRE MARKER 8MM 8.8MM",0,7.25883,8.41153
ACCEL,ACC170036,170036,"ACCEL ACCEL 300+ PERMA-CRIMP TOOL",0,126.68191,141.22038
ACCEL,ACC170037,170037,"ACCEL ACCEL SUPERSTOCK CRIMP TOOL",0,52.95115,63.50191
ACCEL,ACC170040,170040,"ACCEL CRIMP TOOL 7-8MM WIRE CRIMPER",0,24.91268,29.59615
ACCEL,ACC170086,170086,"ACCEL FIBERGLASS BOOT GUARDS 4 PK",0,42.56653,51.65307
