BRAND,JRPSKU,OEMSKU,DESCRIPTION,COST,MAP
ACCEL,ACC140311-4,140311-4,"ACCEL COIL COP HONDA I4 MULTI-PAK",307.37422,351.98653
Frostbite,FRBFB127,FB127,"FROSTBITE ALUM RADTR 3-ROW 63/70 FORD/ME",511.95115,569.06653
Frostbite,FRBFB169,FB169,"FROSTBITE ALUM RADTR 3-ROW 79/93 FORD/ME",511.95115,569.06653
Frostbite,FRBFB170,FB170,"FROSTBITE ALUM RADTR 4-ROW 79/93 FORD/ME",679.14345,754.95115
Frostbite,FRBFB403,FB403,"FROSTBITE FAN/SHROUD ELECTRIC FAN RELAY",152.64345,170.29730
Frostbite,FRBFB511E,FB511E,"FROSTBITE FB FAN/SHROUD PACKAGE ECONO FB126-FB131",416.41268,471.65883
Hurst,HUR1530020,1530020,"HURST T-HANDLE BRUSHED ALUM-UNIVERSA",56.06653,67.08460
Hurst,HUR1530040,1530040,"HURST POLISHED UNIV T HANDLE",70.60500,84.27115
Hurst,HUR1536210,1536210,"HURST PISTOL-GRIP HANDLE W/SWITCH BLACK A",115.25883,137.33653
Hurst,HUR1630056,1630056,"HURST CLASSIC KNOB CORVETTE C5 WHITE",74.75883,88.71576
Hurst,HUR1630156,1630156,"HURST KNOB CLASSIC CORVETTE C5 BLACK",74.75883,88.71576
Hurst,HUR1631225,1631225,"HURST CLASSIC 6-SPD KNOB 12MMx1.25 BLK",95.52807,114.22038
Hurst,HUR1631401,1631401,"HURST KNOB WHITE HURST - UNIV M16X1.5",142.25883,169.69500
Hurst,HUR1745000,1745000,"HURST ROLL/CONTROL W/STAINLESS VALVE",202.48960,228.13960
Hurst,HUR3916030,3916030,"HURST BILLET/PLUS SHIFTER 10-15 CAMARO SS",379.02807,453.56883
Hurst,HUR3916037,3916037,"HURST 15-18 MUSTANG COMP/PLUS SHIFTER",566.98960,643.03615
Hurst,HUR5671519,5671519,"HURST 11-14 MUSTANG ROLL/CONTROL",398.75883,452.17730
VOLK,PMUPS4F1040,PS4F1040,"PROJECT MU NS400 F40 BREMBO CALIPER",127.85879,150.53584
VOLK,PMUPS4F240,PS4F240,"PROJECT MU NS400 350Z NON BREMBO",95.41688,112.34012
VOLK,PMUPS4R209,PS4R209,"PROJECT MU NS400 350Z NON BREMBO",62.97503,74.14435
VOLK,VOLKWGCRV37EGX,WGCRV37EGX,"57CR 18 X 8.5 +37 5 X 114 GLOSSY BLACK",604.83187,671.80037
VOLK,VOLKWGDRX38WA2,WGDRX38WA2,"57DR 18 X 9.5 +38 5 X 120 BRONZE",521.48101,580.27133
VOLK,VOLKWGJX40EMG,WGJX40EMG,"57XTREME 18 X 9.5 +40 5 X 114.3 MATTE GRAPHITE",555.71077,599.00819
VOLK,VOLKWKZX45WD,WKZX45WD,"ZE40 18 X 9.5 +45 5 X 120 MAG BLUE",1073.37496,1193.23999
VOLK,VOLKWKZX45WDX,WKZX45WDX,"ZE40 18 X 9.5 +45 5 X 120 DIAMOND DARK GUNMETAL",1035.57969,1151.12525
VOLK,VOLKWVDE35AP1,WVDE35AP1,"TE37SL 15 X 8.0 +35 4 X 100 MERCURY SILVER",776.50920,862.90920
VOLK,VOLKWVDE35AP9,WVDE35AP9,"TE37SL 15 X 8.0 +35 4 X 100 GLOSS BLACK",776.50920,862.90920
VOLK,VOLKWVDGX45W9,WVDGX45W9,"TE37 SAGA 18 X 9.5 +45 5 X 120 GLOSS BLACK",1073.37496,1193.23999
VOLK,VOLKWVDGX45WA,WVDGX45WA,"TE37 SAGA S-PLUS 18 X 9.5 +45 5 X 120 BRONZE",1061.49647,1179.20173
VOLK,VOLKWVDGX45WD,VOLKWVDGX45WD,"TE37 SAGA 18X9.5 +45 5-120 MAG BLUE",1061.92911,1214.20485
VOLK,VOLKWVDGX45WDX,VOLKWVDGX45WDX,"TE37 SAGA 18X9.5 +45 5-120 DIAMOND DARK GUNMETAL",1061.92911,1171.83548
VOLK,VOLKWVDX38WPB,VOLKWVDX38WPB,"TE37SL 18 X 9.5 +38 5 X 120 DIAMOND BLACK",1003.18374,1114.40983
VOLK,VOLKWVDX38WPCW,WVDX38WPCW,"TE37SL 18 X 9.5 +38 5 X 120 CHAMPIONSHIP WHITE",932.19893,1035.77657
VOLK,VOLKWVDX39WPB3,VOLKWVDX39WPB3,"TE37SL BK-III 18X9.5 +39 5-120 PRESSED BLACK",1037.42307,1268.83898
VOLK,VOLKYAP8H40EHS,YAP8H40EHS,"ADVAN RSII 18 X 8.5 +40 5 X 114.3 RACING HYPER SILVER",526.97407,585.28677
VOLK,VOLKYAQ8J38WDP,VOLKYAQ8J38WDP,"ADVAN GT PREMIUM 18 X 9.5 +38 5X120 TITANIUM BLUE",1055.20037,1214.20485
VOLK,VOLKYAR8L15ESBK,YAR8L15ESBK,"ADVAN RGIII 18 X 10.5 +15 5 X 114.3 BLACK CHROME",793.68993,881.15901
VOLK,VOLKYAT8J40DSB,YAT8J40DSB,"ADVAN RG-D2 18 X 9.5 +40 5 X 100 SEMI GLOSS BLACK",643.58871,714.85979
VOLK,VOLK33002R,33002R,"MONSTER M14X1.5 LOCK SET (4pc) TOP RED",28.34200,35.77300
VOLK,VOLK33004B,VOLK33004B,"MONSTER 1/2-20 LUG KIT 50BV30 O/E TOP BLACK",71.14099,88.92634
VOLK,VOLK33004U,33004U,"MONSTER 1/2-20 LUG KIT 50BV30 O/E TOP BLUE",71.14099,88.92634
